ROI	Mean	StdDev
Left-Cerebral-White-Matter	2.55283	0.35907
Left-Cerebellum-White-Matter	2.58713	0.35553
Left-Cerebellum-Cortex	2.27762	0.32409
Left-Thalamus	2.93317	0.41231
Left-Caudate	2.19821	0.38765
Left-Putamen	2.76875	0.39263
Left-Pallidum	2.94659	0.42183
Brain-Stem	2.56546	0.34453
Left-Hippocampus	3.58643	0.49750
Left-Amygdala	2.64024	0.39293
CSF	2.07155	0.45363
Left-Accumbens-area	2.51621	0.36088
Left-VentralDC	2.91633	0.40884
Left-choroid-plexus	3.09350	0.64872
Right-Cerebral-White-Matter	2.52902	0.36846
Right-Cerebellum-White-Matter	2.58240	0.33736
Right-Cerebellum-Cortex	2.26837	0.31142
Right-Thalamus	2.90527	0.41382
Right-Caudate	2.13200	0.37025
Right-Putamen	2.70352	0.39819
Right-Pallidum	2.88395	0.42242
Right-Hippocampus	3.46395	0.53840
Right-Amygdala	2.52432	0.37210
Right-Accumbens-area	2.45727	0.32572
Right-VentralDC	2.87367	0.37511
Right-choroid-plexus	2.96760	0.69828
AirCavity	1.13496	0.22881
Skull	1.82226	0.53510
Vermis	2.29148	0.29988
Pons	2.99323	0.47696
CSF-ExtraCerebral	1.97497	0.27388
Head-ExtraCerebral	1.96479	0.36819
ctx-lh-bankssts	2.51902	0.34585
ctx-lh-caudalanteriorcingulate	2.47408	0.36123
ctx-lh-caudalmiddlefrontal	2.27416	0.32363
ctx-lh-cuneus	3.29029	0.52230
ctx-lh-entorhinal	2.32609	0.36651
ctx-lh-fusiform	2.47797	0.36434
ctx-lh-inferiorparietal	2.38739	0.29548
ctx-lh-inferiortemporal	2.32604	0.32599
ctx-lh-isthmuscingulate	2.38171	0.31439
ctx-lh-lateraloccipital	2.86326	0.38809
ctx-lh-lateralorbitofrontal	2.43909	0.35757
ctx-lh-lingual	3.12369	0.45258
ctx-lh-medialorbitofrontal	2.41994	0.35633
ctx-lh-middletemporal	2.28644	0.29525
ctx-lh-parahippocampal	2.42893	0.40825
ctx-lh-paracentral	2.36092	0.38378
ctx-lh-parsopercularis	2.36057	0.28879
ctx-lh-parsorbitalis	2.48656	0.29020
ctx-lh-parstriangularis	2.47674	0.27524
ctx-lh-pericalcarine	3.71135	0.55493
ctx-lh-postcentral	2.46101	0.32664
ctx-lh-posteriorcingulate	2.45100	0.37055
ctx-lh-precentral	2.39800	0.32376
ctx-lh-precuneus	2.51483	0.35603
ctx-lh-rostralanteriorcingulate	2.45835	0.34572
ctx-lh-rostralmiddlefrontal	2.35190	0.27113
ctx-lh-superiorfrontal	2.20021	0.31059
ctx-lh-superiorparietal	2.43937	0.33528
ctx-lh-superiortemporal	2.33135	0.27667
ctx-lh-supramarginal	2.34748	0.27537
ctx-lh-frontalpole	2.13671	0.31791
ctx-lh-temporalpole	2.30524	0.28895
ctx-lh-transversetemporal	2.80278	0.35203
ctx-lh-insula	2.49259	0.32364
ctx-rh-bankssts	2.53576	0.33637
ctx-rh-caudalanteriorcingulate	2.45677	0.35998
ctx-rh-caudalmiddlefrontal	2.22368	0.31138
ctx-rh-cuneus	3.23787	0.49172
ctx-rh-entorhinal	2.24470	0.34235
ctx-rh-fusiform	2.45609	0.35128
ctx-rh-inferiorparietal	2.41388	0.29493
ctx-rh-inferiortemporal	2.26582	0.34333
ctx-rh-isthmuscingulate	2.37686	0.34076
ctx-rh-lateraloccipital	2.93286	0.38696
ctx-rh-lateralorbitofrontal	2.43606	0.37901
ctx-rh-lingual	3.07194	0.40475
ctx-rh-medialorbitofrontal	2.41733	0.34547
ctx-rh-middletemporal	2.24758	0.33135
ctx-rh-parahippocampal	2.45028	0.44782
ctx-rh-paracentral	2.35768	0.40193
ctx-rh-parsopercularis	2.31514	0.34202
ctx-rh-parsorbitalis	2.41636	0.33970
ctx-rh-parstriangularis	2.40768	0.30535
ctx-rh-pericalcarine	3.73048	0.58758
ctx-rh-postcentral	2.46298	0.32948
ctx-rh-posteriorcingulate	2.43657	0.37853
ctx-rh-precentral	2.30820	0.33058
ctx-rh-precuneus	2.47330	0.34888
ctx-rh-rostralanteriorcingulate	2.46175	0.36303
ctx-rh-rostralmiddlefrontal	2.37194	0.31553
ctx-rh-superiorfrontal	2.19296	0.31832
ctx-rh-superiorparietal	2.42311	0.33481
ctx-rh-superiortemporal	2.27031	0.28113
ctx-rh-supramarginal	2.32257	0.29724
ctx-rh-frontalpole	2.16055	0.33751
ctx-rh-temporalpole	2.22148	0.34045
ctx-rh-transversetemporal	2.70861	0.35716
ctx-rh-insula	2.42990	0.33868
